premise: Conceptually cream skimming has two basic dimensions - product and geography. [SEP] hypothesis: Product and geography are what make cream skimming work. 	neutral
premise: you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a single A guy goes up to replace him [SEP] hypothesis: You lose the things to the following level if the people recall.	entailment
premise: One of our number will carry out your instructions minutely. [SEP] hypothesis: A member of my team will execute your orders with immense precision.	entailment
premise: How do you know? All this is their information again. [SEP] hypothesis: This information belongs to them.	entailment
premise: yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they're getting up in the hundred dollar range [SEP] hypothesis: The tennis shoes have a range of prices.	neutral
premise: my walkman broke so i'm upset now i just have to turn the stereo up real loud [SEP] hypothesis: I'm upset that my walkman broke and now I have to turn the stereo up really loud.	entailment
premise: But a few Christian mosaics survive above the apse is the Virgin with the infant Jesus, with the Archangel Gabriel to the right (his companion Michael, to the left, has vanished save for a few feathers from his wings). [SEP] hypothesis: Most of the Christian mosaics were destroyed by Muslims.  	neutral
premise: (Read  for Slate 's take on Jackson's findings.) [SEP] hypothesis: Slate had an opinion on Jackson's findings.	entailment
premise: Gays and lesbians. [SEP] hypothesis: Heterosexuals.	contradiction
premise: At the end of Rue des Francs-Bourgeois is what many consider to be the city's most handsome residential square, the Place des Vosges, with its stone and red brick facades. [SEP] hypothesis: Place des Vosges is constructed entirely of gray marble.	contradiction
premise: I burst through a set of cabin doors, and fell to the ground- [SEP] hypothesis: I burst through the doors and fell down.	entailment
premise: Fun for adults and children. [SEP] hypothesis: Fun for only children.	contradiction
premise: It's not that the questions they asked weren't interesting or legitimate (though most did fall under the category of already asked and answered). [SEP] hypothesis: All of the questions were interesting according to a focus group consulted on the subject.	neutral
premise: Thebes held onto power until the 12th Dynasty, when its first king, Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis. [SEP] hypothesis: The capital near Memphis lasted only half a century before its inhabitants abandoned it for the next capital. 	neutral
premise: I don't mean to be glib about your concerns, but if I were you, I might be more concerned about the near-term rate implications of this $1. [SEP] hypothesis: I am concerned more about your issues than the near-term rate implications.	contradiction
premise: Issues in Data Synthesis. [SEP] hypothesis: Problems in data synthesis.	entailment
premise: well you see that on television also [SEP] hypothesis: You can see that on television, as well.	entailment
premise: Vrenna and I both fought him and he nearly took us. [SEP] hypothesis: Neither Vrenna nor myself have ever fought him.	contradiction
premise: This analysis pooled estimates from these two studies to develop a C-R function linking PM to chronic bronchitis. [SEP] hypothesis: The analysis proves that there is no link between PM and bronchitis.	contradiction
premise: He turned and smiled at Vrenna. [SEP] hypothesis: He smiled at Vrenna who was walking slowly behind him with her mother.	neutral
premise: We sought to identify practices that were commonly implemented by the agencies within the past 5 years. [SEP] hypothesis: We want to identify practices commonly used by agencies in the last 5 years	entailment
premise: The other men shuffled. [SEP] hypothesis: The other men were shuffled around.	entailment
premise: States must show reasonable progress in their state implementation plans toward the congressionally mandated goal of returning to natural conditions in national parks and wilderness areas. [SEP] hypothesis: Itis not necessary for there to be any improvement.	contradiction
premise: well it's been very interesting [SEP] hypothesis: It has been very intriguing.	entailment
premise: He started slowly back to the bunkhouse. [SEP] hypothesis: He returned slowly to the bunkhouse.	entailment
premise: and it's it's quite a bit i think six something is the state and and uh the rest of the pie goes elsewhere but we're in a particular part of the state that's pretty well off so it's it's like we get a lot of that back as far as local taxation goes [SEP] hypothesis: I do not know exactly where the local taxes go.	neutral
premise: They're made from a secret recipe handed down to the present-day villagers by their Mallorcan ancestors, who came here in the early 17th century as part of an official repopulation scheme. [SEP] hypothesis: The recipe passed down from Mallorcan ancestors is known to everyone.	contradiction
premise: yeah well you're a student right [SEP] hypothesis: Well you're a mechanics student right?	neutral
premise: it really is i heard something that their supposed to be starting a huge campaign in New York about um child abuse and stopping child abuse and it's supposed to be like it's starting there supposed to be like a big nationwide campaign and you know so hopefully that will take off and really do something i don't know there's just [SEP] hypothesis: It's unfortunate that nobody is organizing a child abuse campaign.	contradiction
premise: Postal Service were to reduce delivery frequency. [SEP] hypothesis: The postal service could deliver less frequently.	entailment
premise: And in another shift in the economy, it was found that lamb could be raised more cost-effectively on lowland farms in part because of the richer, more nutritious grazing land available there and as a result Lakeland farms became less profitable. [SEP] hypothesis: Another shift in the economy was found to be more nutritious.	entailment
premise: The rule contains information collection requirements which will allow EPA to determine that detergent additives which are effective in controlling deposits are used and that emission control goals are realized. [SEP] hypothesis: The rule has data collection requirements which aid the EPA to realize their emission control goals.	entailment
premise: Almost every hill has to the northeast there's a Moorish fort; no fewer than four ruined fortresses guard the harbour entrance; and two more, still in good repair the Atalaya and Galeras castles protect the sea-front arsenal, of vital importance to Spain's military. [SEP] hypothesis: There are no castles Atalaya and Galeras.	contradiction
premise: Were they in there? [SEP] hypothesis: Were they supposed to be in there?	neutral
premise: Felicia's Journey takes place behind the eyes of its central  a young Irish girl, Felicia, who crosses the sea to England in a hopeful quest to find the father of her unborn child; and the fat, middle-aged catering manager, Hiditch, who takes a paternal interest in the lass when it becomes clear that her young man has caddishly given her the slip. [SEP] hypothesis: The woman did not care where the man was as long as it was far.	contradiction
premise: In the crypt are interred the remains of Voltaire and Rousseau, Hugo and Zola, assassinated Socialist leader Jean Jaurys, and Louis Braille, the inventor of the alphabet for the blind. [SEP] hypothesis: The remains of Voltaire and Rousseau, Hugo and Zola, assassinated Socialist leader Jean Jaurys, and Louis Braille are all interred in the crypt.	entailment
premise: there's a uh a couple called um oh i'm going to forgot his name now uh Dirkson [SEP] hypothesis: I can't remember their name	entailment
premise: Poirot, I exclaimed, with relief, and seizing him by both hands, I dragged him into the room.  [SEP] hypothesis: Poirot was now back and I was sorry that he would take over what I now considered my own investigation. 	contradiction
premise: The word aswan actually means trade or market in ancient Egyptian, signifying its most pre-eminent activity. [SEP] hypothesis: Aswan's meaning has not changed over time.	contradiction
premise: well what the market can bear and [SEP] hypothesis: THe market can't bear any of it.	contradiction
premise: And to show just how fast Japan's new rulers were catching on, two punitive expeditions were launched against Korea and China in the grand manner of 19th-century gunboat diplomacy. [SEP] hypothesis: Japan's new rulers were catching on quickly.	entailment
premise: When the trust fund begins running cash deficits in 2016, the government as a whole must come up with the cash to finance Social Security's cash deficit by reducing any projected non-Social Security surpluses, borrowing from the public, raising other taxes, or reducing other government spending. [SEP] hypothesis: The public would generally prefer to see the government reduce its spending in other areas to finance Social Security.	neutral
premise: These organizations invest the time and effort to understand their processes and how those processes contribute to or hamper mission accomplishment. [SEP] hypothesis: These organizations invest lots of time to understand how some processes can contribute to or haampe	entailment
premise: and it is nice talking to you all righty [SEP] hypothesis: I talk to you every day.	neutral
